Chapter,Character,Dialogue,Character Count
A-1（追加修正）,,「じゃ、約束ね！」,7
A-1（追加修正）,???,「なぁなぁ、もう11時やで？　はよ起きた方がええんやないの？」,28
A-1（追加修正）,???,「いいではありませんか。今雪翔様の学校は夏休み、寝た時間を考えるとむしろ早すぎるぐらいではなくて？」,48
A-1（追加修正）,ロズ,「そうやってラズが甘やかすから、どんどんマスターの生活リズムが崩れていくんやで？」,39
A-1（追加修正）,ラズ,「止めなかったのは貴方も同じでしょうロズ？　それに、雪翔様の眠りを妨げるのはいかがなものかと思いますが」,49
A-1（追加修正）,ロズ,「どうやら、今日こそ決着つけなあかんみたいやな」,22
A-1（追加修正）,ラズ,「勝てるとお思いで？　私、貴方に負けたことないでしょう？」,26
A-1（追加修正）,ロズ,「当たりまえやろ毎回引き分けなんやから！！　とにかく、覚悟──」,29
A-2,???,「───あと、食材はここにあるから、後で‥‥」,21
A-2,黄樹,「まぁ、他は特に変わったものはないし、多分家と同じだと思うよ」,29
A-2,☆???,「なるほど、では昼や夜は私が作るってことでいいんですよね？」,28
A-2,黄樹,「うん、悪いけどお願いできるかな。材料費とかはまた後で払うから、心配しなくていいよ」,40
A-2,美寿花,「雪翔君、だよね？　おはよう」,12
A-2,黄樹,「ん？　どうした？　そんなぼーっと突っ立って」,19
A-2,黄樹,「そうか。そういえばまだ説明してなかったな。彼女は──」,26
A-2,黄樹,「んん？」,3
A-2,黄樹,「ああ、僕の携帯か。すまん。ちょっと出てくるから、二人でゆっくりしていてくれ」,37
A-2,黄樹,「なんだなんだ？　ちゃんとやることは事前に伝えていたはずだが‥‥」,30
A-2,美寿花,「あ～‥‥」,4
A-2,美寿花,「‥‥あ、まず自己紹介から、だよね！」,17
A-2,美寿花,「えーと、名前は常葉美寿花。希み野大学の1年生」,22
A-2,美寿花,「それで、訳あって今日からここで暮らすことになって──」,26
A-3,黄樹,「と、いうわけで‥‥」,9
A-3,黄樹,「今日からしばらく僕たちと暮らすことになった、常葉美寿花ちゃんだ」,31
A-3,美寿花,「もしかして、聞かされてなかったの‥‥？　私てっきり‥‥」,26
A-3,黄樹,「いや‥‥伝えようとは思っていたんだが、僕が家に帰る頃には雪翔は大抵寝てるからね。説明する機会がなかったというか‥‥」,57
A-3,美寿花,「やっぱり大変なんですね、大学の教授って‥‥」,21
A-3,黄樹,「本当はもう少し早く帰れたらいいんだけどね。これがなかなか‥‥」,30
A-3,黄樹,「とはいえ、雪翔に了承を得なかったのは僕の落ち度だ、申し訳ない」,30
A-3,美寿花,「あはは‥‥どうりでなんか反応がおかしいと思った。じゃあ、ちゃんと説明しないとだね」,40
A-3,美寿花,「私がここにお邪魔させてもらった理由なんだけど‥‥」,24
A-3,美寿花,「ちょっと、親と喧嘩しちゃって」,14
A-3,美寿花,「私、カッとなって家から飛び出してきちゃったんだ～！」,25
A-3,黄樹,「美寿花ちゃんの母親は僕の友達でね。さすがに女の子一人だと色々と危険だし、落ち着くまで面倒を見てくれないか頼まれたわけだ」,59
A-3,黄樹,「それに、ちょうどいいと思ったんだ」,16
A-3,黄樹,「お前、生活リズムめちゃくちゃだろう？」,18
A-3,黄樹,「普段料理することもないみたいだし、ちょっと色々と心配でな‥‥」,30
A-3,黄樹,「僕としては、美寿花ちゃんがいてくれる方が安心できる」,25
A-3,黄樹,「まぁ、その分迷惑をかけてしまうことにもなるんだが‥‥」,26
A-3,美寿花,「いえ、迷惑なんてそんな！　家事は得意ですので任せてください！」,29
A-3,黄樹,「というわけだ。しばらくの間、仲良くやってくれ！」,23
A-3,黄樹,「じゃ、私は大学に行ってくる」,13
A-3,美寿花,「あれ？　確か昼からだと聞いていましたけど」,19
A-3,黄樹,「さっきの電話で早めに来てほしい、って言われてね。何をしでかしたんだか‥‥」,36
A-3,黄樹,「早速で悪いんだが今日の夕飯の用意、頼めるかい？」,23
A-3,美寿花,「はい、分かりました！」,10
A-3,黄樹,「おっと、もうこんな時間か！　じゃ、頼んだよ！」,21
A-3,美寿花,「‥‥忙しい人だね」,8
A-4,美寿花,「これ‥‥もしかして、音楽作ってる？」,17
A-4,美寿花,「あ、ごめん！　驚かせちゃった？」,14
A-4,美寿花,「なんか、意外だね。少年君、あんまりこういう創作系のことするタイプに見えなかったから」,41
A-4,美寿花,「ねぇ、もう少し近くで見ていい？」,15
A-4,美寿花,「やった！　じゃあ、ちょっと失礼しまーす」,18
A-4,美寿花,「へぇ、こんな感じで作ってるんだ‥‥」,17
A-4,美寿花,「あれ、もしかしてこれ‥‥歌詞付き？」,17
A-4,美寿花,「これも自分で書いたの？　すごい‥‥！！」,18
A-4,美寿花,「意味ないことなんてないよ。この歌詞が、少年君の『声』なんでしょ？」,32
A-4,美寿花,「やっと聞けたね。君の声」,11
A-4,美寿花,「‥‥ごめんね、雪翔君。私、薄谷教授から聞いてたんだ」,25
A-4,美寿花,「‥‥君が、声を出せないこと」,13
A-4,美寿花,「私はね、相手が何を伝えようとしているか、それが分かるんだ」,28
A-4,美寿花,「そんな大したものじゃないよ。その人が伝えようって意志を持った言葉しか聞こえない」,39
A-4,美寿花,「それに、相手に触れてないと効果はないしね」,20
A-4,美寿花,「だから、大抵の人には使ってもあまり意味はないんだけど‥‥」,28
A-4,美寿花,「私なら、君が自分の声を取り戻すまで『その代わり』ができる」,28
A-4,美寿花,「雪翔君？」,4
A-4,美寿花,「あはは‥‥だよね。私だって突然こんな話されたらびっくりするよ」,30
A-4,美寿花,「‥‥ねえ、少年君はさ、夢とかある？」,17
A-4,美寿花,「そう、夢。声を取り戻したら何したいとか‥‥あ、将来の夢でもいいよ」,32
A-4,美寿花,「いいじゃん！」,6
A-4,美寿花,「あ、その時は私も一緒に歌ってもいい？　さっきの歌詞、すっごい良い感じだったし」,37
A-4,美寿花,「じゃ、少年君の目標も聞けたことだし‥‥」,19
A-4,美寿花,「ん？」,2
A-4,美寿花,「ああ、だって君、どうも同い年って感じがしなくて‥‥」,25
A-4,美寿花,「‥‥じゃあ、これからしばらくの間、君の『声』として‥‥」,27
A-4,美寿花,「よろしく、雪翔君」,8
A-4,ロズ,「なぁ、ラズ」,5
A-4,ラズ,「なんですの、ロズ」,8
A-4,ロズ,「うちら、きょうずっっっっっっとミュート状態やったけど‥‥」,28
A-4,ラズ,「完全に、忘れられてますわね‥‥」,15
B-1,美寿花,「‥‥‥‥」,4
B-1,美寿花,「‥‥‥‥‥‥‥‥」,8
B-1,美寿花,「お。お疲れ様～‥‥っと」,11
B-1,美寿花,「さっきの部分、結構悩んでたね。何回もやり直してたし‥‥どうしたの？」,33
B-1,美寿花,「ん～、暇だから‥‥かな？」,12
B-1,美寿花,「一人でいるの、なんか苦手なんだよね。それに人が何かしてるのって、見てて面白いし」,39
B-1,美寿花,「あれ、どこ行くの？」,9
B-1,美寿花,「‥‥冷蔵庫？　えーっと‥‥お腹すいた？　何か作ろうか？」,25
B-1,美寿花,「そういえばさ、君って学校どうしてるの？」,19
B-1,美寿花,「大学だよ大学。声が出ないんじゃ、色々と大変じゃないかな～って」,30
B-1,美寿花,「‥‥いや、変な意地張らずに素直においでよ。私も相手の声聞けた方が話しやすいし」,38
B-1,美寿花,「‥‥ずっと？」,6
B-1,美寿花,「‥‥」,2
B-1,美寿花,「ニート、ってこと‥‥？」,11
B-1,美寿花,「ああごめんごめん」,8
B-1,美寿花,「‥‥でもそっか。学校行けてないのか‥‥」,19
B-1,美寿花,「じゃあ、一緒に学校行こうよ！」,14
B-1,美寿花,「それはどうかな？　たぶん、雪翔君の目標の一歩にはなると思うよ？」,30
B-1,美寿花,「考えたんだけどさ」,8
B-1,美寿花,「雪翔君が声を出せないのって『喋る必要性がない生活』のせいなんじゃないかな～って」,39
B-1,美寿花,「前までは、人に何か伝えることが大変だったかもしれないけど‥‥今は私っていう『声』もいる」,43
B-1,美寿花,「めんどくさいのは分かるけど‥‥一度だけでも行ってみない？」,28
B-1,美寿花,「まぁ、考えといてよ。といっても、学校明日からだけどね」,26
B-1,美寿花,「‥‥ってもうこんな時間！？　作業ちょっとだけ見たら買い物しようと思ってたのに‥‥」,39
B-1,美寿花,「待ってて！　ちょっと色々買ってくるから！」,19
B-1,ロズ,「随分楽しそうやね。マスター」,13
B-1,ロズ,「む～‥‥」,4
B-1,ロズ,「まぁ、それに関してはもうええんやけどさ‥‥」,21
B-1,ロズ,「はいは～い」,5
B-1,ラズ,「ふむ‥‥ご主人様を大学に？」,13
B-1,ロズ,「せや。まだマスターは決めてないけど‥‥まぁ、たぶん時間の問題やろな」,33
B-1,ラズ,「よろしいのではないですか？　むしろ良い方向に転がっているように見えますが‥‥」,37
B-1,ロズ,「いや、それだけやなくてな‥‥」,14
